Mileage,People,Times
12574,438,322
12565,434,318
12109,387,310
11607,36,293
11470,15,293
11379,576,290
11014,147,283
10412,192,275
9773,183,263
9134,262,255
8860,26,239
8523,129,239
8377,60,222
8285,82,234
7811,2,219
7373,203,241
