1991,1,Missing,Missing,Missing
1991,2,Missing,Missing,Missing
1991,3,Missing,Missing,Missing
1991,4,Missing,Missing,Missing
1991,5,83.63,81.9,85.3
1991,6,86.52,79.8,95.8
1991,7,88,80.3,98.2
1991,8,84.84,80.5,90.1
1991,9,86.63,82.7,88.6
1991,10,Missing,Missing,Missing
1991,11,Missing,Missing,Missing
1991,12,Missing,Missing,Missing
1992,1,Missing,Missing,Missing
1992,2,Missing,Missing,Missing
1992,3,Missing,Missing,Missing
1992,4,Missing,Missing,Missing
1992,5,82.46,80.4,85.1
1992,6,81.6,81.6,81.6
1992,7,81.62,81,82.1
1992,8,84.35,81.3,89
1992,9,83.68,81.3,85.4
1992,10,Missing,Missing,Missing
1992,11,Missing,Missing,Missing
1992,12,Missing,Missing,Missing
1993,1,Missing,Missing,Missing
1993,2,Missing,Missing,Missing
1993,3,Missing,Missing,Missing
1993,4,Missing,Missing,Missing
1993,5,Missing,Missing,Missing
1993,6,83.27,81,85.7
1993,7,88.15,80.4,96.9
1993,8,87.91,80.9,95.9
1993,9,85.85,82.8,88.7
1993,10,Missing,Missing,Missing
1993,11,Missing,Missing,Missing
1993,12,Missing,Missing,Missing
1994,1,Missing,Missing,Missing
1994,2,Missing,Missing,Missing
1994,3,Missing,Missing,Missing
1994,4,Missing,Missing,Missing
1994,5,Missing,Missing,Missing
1994,6,87.45,82,94.4
1994,7,86.08,80.4,97.2
1994,8,84.58,81.9,87.3
1994,9,83.34,82,84.8
1994,10,Missing,Missing,Missing
1994,11,Missing,Missing,Missing
1994,12,Missing,Missing,Missing
1995,1,Missing,Missing,Missing
1995,2,Missing,Missing,Missing
1995,3,Missing,Missing,Missing
1995,4,Missing,Missing,Missing
1995,5,Missing,Missing,Missing
1995,6,87.16,80.8,102.5
1995,7,86.17,80.4,98.7
1995,8,86.27,80.8,95.1
1995,9,81.53,80.8,82.3
1995,10,Missing,Missing,Missing
1995,11,Missing,Missing,Missing
1995,12,Missing,Missing,Missing
1996,1,Missing,Missing,Missing
1996,2,Missing,Missing,Missing
1996,3,Missing,Missing,Missing
1996,4,Missing,Missing,Missing
1996,5,82.55,81.9,83
1996,6,85.98,81.3,88
1996,7,82.39,81.2,83.2
1996,8,85.73,80.4,90.1
1996,9,83.38,81,85.1
1996,10,Missing,Missing,Missing
1996,11,Missing,Missing,Missing
1996,12,Missing,Missing,Missing
1997,1,Missing,Missing,Missing
1997,2,Missing,Missing,Missing
1997,3,Missing,Missing,Missing
1997,4,Missing,Missing,Missing
1997,5,Missing,Missing,Missing
1997,6,85.18,81.1,87.8
1997,7,85.66,80.7,89.5
1997,8,84.64,81.3,89
1997,9,Missing,Missing,Missing
1997,10,Missing,Missing,Missing
1997,11,Missing,Missing,Missing
1997,12,Missing,Missing,Missing
1998,1,Missing,Missing,Missing
1998,2,Missing,Missing,Missing
1998,3,Missing,Missing,Missing
1998,4,Missing,Missing,Missing
1998,5,81.7,81.5,81.8
1998,6,83.6,83.6,83.6
1998,7,87.35,80.9,94.2
1998,8,84,80.7,87.9
1998,9,82.65,81.7,83.5
1998,10,Missing,Missing,Missing
1998,11,Missing,Missing,Missing
1998,12,Missing,Missing,Missing
1999,1,Missing,Missing,Missing
1999,2,Missing,Missing,Missing
1999,3,Missing,Missing,Missing
1999,4,Missing,Missing,Missing
1999,5,83.61,79.9,84.9
1999,6,84.39,80.4,91.6
1999,7,86.31,81.1,98.9
1999,8,84.4,81,93.8
1999,9,84.19,80.6,87.8
1999,10,Missing,Missing,Missing
1999,11,Missing,Missing,Missing
1999,12,Missing,Missing,Missing
2000,1,Missing,Missing,Missing
2000,2,Missing,Missing,Missing
2000,3,Missing,Missing,Missing
2000,4,Missing,Missing,Missing
2000,5,Missing,Missing,Missing
2000,6,85.98,80.1,93.1
2000,7,81.18,80.6,82.2
2000,8,84,80.8,87.7
2000,9,90.97,87.7,93.1
2000,10,Missing,Missing,Missing
2000,11,Missing,Missing,Missing
2000,12,Missing,Missing,Missing
2001,1,Missing,Missing,Missing
2001,2,Missing,Missing,Missing
2001,3,Missing,Missing,Missing
2001,4,Missing,Missing,Missing
2001,5,82.25,80.3,84.6
2001,6,87.95,81.2,100.7
2001,7,85.45,80.5,97.4
2001,8,86.28,79.9,98.9
2001,9,85.47,80.7,91.5
2001,10,Missing,Missing,Missing
2001,11,Missing,Missing,Missing
2001,12,Missing,Missing,Missing
2002,1,Missing,Missing,Missing
2002,2,Missing,Missing,Missing
2002,3,Missing,Missing,Missing
2002,4,Missing,Missing,Missing
2002,5,Missing,Missing,Missing
2002,6,85.15,81,88.8
2002,7,90.37,80.9,111.1
2002,8,89.6,82.2,100.5
2002,9,88.8,82.3,95.6
2002,10,82.66,82.1,83.1
2002,11,Missing,Missing,Missing
2002,12,Missing,Missing,Missing
2003,1,Missing,Missing,Missing
2003,2,Missing,Missing,Missing
2003,3,Missing,Missing,Missing
2003,4,Missing,Missing,Missing
2003,5,Missing,Missing,Missing
2003,6,89.3,82.7,97
2003,7,85.33,81.5,91.8
2003,8,86.3,81,93
2003,9,83.51,82.7,84
2003,10,Missing,Missing,Missing
2003,11,Missing,Missing,Missing
2003,12,Missing,Missing,Missing
2004,1,Missing,Missing,Missing
2004,2,Missing,Missing,Missing
2004,3,Missing,Missing,Missing
2004,4,Missing,Missing,Missing
2004,5,83.99,83.3,85.2
2004,6,88.53,86.2,90.6
2004,7,85.27,83,88.7
2004,8,85.68,82.1,93
2004,9,Missing,Missing,Missing
2004,10,Missing,Missing,Missing
2004,11,Missing,Missing,Missing
